epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,1055.51,0.59525,0.44262,0.99626,0.97875,0.95588,0.97288,0.73077,0.92533,0.43211,1.2885,0.0010958,0.0010958,0.0010958
139,1066.21,0.60718,0.44135,0.9973,0.91436,0.95588,0.96333,0.74394,0.90023,0.45675,1.27269,0.0010892,0.0010892,0.0010892
140,1072.35,0.61568,0.4376,1.02512,0.94172,0.95588,0.96664,0.72826,0.91116,0.47544,1.25884,0.0010826,0.0010826,0.0010826
141,1078.92,0.62848,0.46177,1.01308,0.92715,0.95588,0.95806,0.71559,0.96949,0.48784,1.27821,0.001076,0.001076,0.001076
142,1088.88,0.62557,0.43335,1.01033,0.94852,0.89706,0.93661,0.70611,0.92747,0.46248,1.23807,0.0010694,0.0010694,0.0010694
143,1097.1,0.60171,0.42396,0.99713,0.97803,0.92647,0.96494,0.73464,0.88664,0.44892,1.22089,0.0010628,0.0010628,0.0010628
144,1106.23,0.60703,0.40869,1.00248,0.96778,0.92647,0.97746,0.75478,0.84599,0.43488,1.20349,0.0010562,0.0010562,0.0010562
145,1112.66,0.59325,0.39826,0.9981,0.97011,0.95459,0.98277,0.75352,0.88765,0.4291,1.2191,0.0010496,0.0010496,0.0010496
146,1118.97,0.65106,0.44759,1.04391,0.96787,0.94118,0.9793,0.74512,0.87516,0.44059,1.20703,0.001043,0.001043,0.001043
147,1128.2,0.59917,0.42788,0.99041,0.94265,0.96695,0.97484,0.74167,0.85298,0.45755,1.19392,0.0010364,0.0010364,0.0010364
148,1135.77,0.62722,0.43188,1.01364,0.96777,0.88319,0.94908,0.73979,0.89818,0.54408,1.24156,0.0010298,0.0010298,0.0010298
149,1144.64,0.60276,0.40929,1.01169,0.96872,0.91094,0.94365,0.71619,0.95008,0.52737,1.26714,0.0010232,0.0010232,0.0010232
150,1151.58,0.60465,0.4221,0.98496,0.92536,0.91162,0.93204,0.69009,0.97145,0.56169,1.28618,0.0010166,0.0010166,0.0010166
151,1157.41,0.57946,0.40149,0.98884,0.95374,0.90954,0.9605,0.71212,0.9427,0.50393,1.27328,0.00101,0.00101,0.00101
152,1168.16,0.58422,0.39632,0.98391,0.91586,0.97059,0.96675,0.739,0.89065,0.48017,1.22303,0.0010034,0.0010034,0.0010034
153,1174.35,0.61121,0.43578,0.99595,0.95509,0.93826,0.9613,0.73269,0.88383,0.4823,1.23539,0.0009968,0.0009968,0.0009968
154,1180.87,0.58039,0.41195,0.9919,0.94198,0.95498,0.9637,0.74161,0.89865,0.47168,1.23602,0.0009902,0.0009902,0.0009902
155,1189.78,0.58395,0.40765,1.00964,0.95471,0.91176,0.96108,0.73304,0.90434,0.49624,1.25265,0.0009836,0.0009836,0.0009836
156,1195.61,0.57018,0.4028,0.97916,0.9542,0.91927,0.9418,0.71926,0.89731,0.49961,1.22569,0.000977,0.000977,0.000977
157,1204.69,0.6137,0.42547,0.99957,0.92751,0.94086,0.94299,0.72175,0.90445,0.46357,1.23527,0.0009704,0.0009704,0.0009704
158,1211.93,0.53944,0.37831,0.96336,0.95401,0.92647,0.94368,0.72578,0.90329,0.44135,1.24551,0.0009638,0.0009638,0.0009638
159,1217.74,0.60768,0.44513,1.02692,0.92725,0.93728,0.9427,0.7306,0.89432,0.45544,1.24813,0.0009572,0.0009572,0.0009572
160,1226.77,0.57346,0.41237,0.97438,0.9686,0.90717,0.94196,0.73412,0.88,0.52672,1.22015,0.0009506,0.0009506,0.0009506
161,1232.93,0.58717,0.39505,0.98896,0.93843,0.94118,0.96223,0.713,0.95144,0.54259,1.31089,0.000944,0.000944,0.000944
162,1242.07,0.5882,0.4106,0.99472,0.96725,0.95588,0.9704,0.70721,0.97659,0.5205,1.31614,0.0009374,0.0009374,0.0009374
163,1249.62,0.53822,0.40448,0.98005,0.95356,0.94118,0.95097,0.72869,0.86906,0.44789,1.22196,0.0009308,0.0009308,0.0009308
164,1255.44,0.53818,0.40235,0.96757,0.9376,0.92647,0.93597,0.72627,0.8974,0.45535,1.26449,0.0009242,0.0009242,0.0009242
165,1264.48,0.53705,0.40346,0.9808,0.92502,0.89706,0.93943,0.71073,0.89997,0.48887,1.26474,0.0009176,0.0009176,0.0009176
166,1272.86,0.56858,0.40556,0.98002,0.95102,0.91176,0.94796,0.72774,0.87028,0.47089,1.24195,0.000911,0.000911,0.000911
167,1279.76,0.58435,0.40289,0.98484,0.96783,0.91176,0.94023,0.72737,0.8744,0.49993,1.23372,0.0009044,0.0009044,0.0009044
168,1288.09,0.58005,0.43393,0.98154,0.95494,0.93513,0.9494,0.73202,0.85927,0.48503,1.19847,0.0008978,0.0008978,0.0008978
169,1294.07,0.57981,0.40359,0.97395,0.9846,0.94038,0.95753,0.72413,0.89606,0.47494,1.23336,0.0008912,0.0008912,0.0008912
170,1302.65,0.55446,0.40825,0.96946,0.96805,0.95588,0.96177,0.72006,0.92747,0.43632,1.27176,0.0008846,0.0008846,0.0008846
171,1310.73,0.59639,0.41306,1.00721,0.97005,0.95272,0.96219,0.74111,0.87998,0.45861,1.2198,0.000878,0.000878,0.000878
172,1317.56,0.58301,0.44206,0.98768,0.97897,0.92647,0.9512,0.73762,0.86186,0.43957,1.23117,0.0008714,0.0008714,0.0008714
